"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"sdg_externalLabData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sdg_externalLabData","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sdg_externalLabData","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sdg_externalLabData","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sdg_externalLabData","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"sdg_externalLabData","analysisDate","Date that the sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"sdg_externalLabData","internalLabID","Internal identifier used by the external facility","string",NA,"expanded","asIs","N",""
"sdg_externalLabData","internalSampleName","Internal lab specific identifier","string",NA,"expanded","asIs","N",""
"sdg_externalLabData","internalLabFileName","Internal lab specific file name for raw data","string",NA,"expanded","asIs","N",""
"sdg_externalLabData","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"sdg_externalLabData","sampleCode","Barcode of a sample","string",NA,"basic","asIs","Y",""
"sdg_externalLabData","concentrationCH4","Concentration of CH4 in sample","real","partsPerMillionVolumetric","basic","signif_###########(round)","N",""
"sdg_externalLabData","runDetectionLimitCH4","Run detection limit - CH4ppm","real","partsPerMillionVolumetric","basic","signif_###(round)","N",""
"sdg_externalLabData","precisionCH4","Precision (CV%) - CH4ppm","real","percent","basic","signif_###(round)","N",""
"sdg_externalLabData","concentrationCO2","Concentration of CO2 in sample","real","partsPerMillionVolumetric","basic","signif_###########(round)","N",""
"sdg_externalLabData","runDetectionLimitCO2","Run detection limit - CO2ppm","real","partsPerMillionVolumetric","basic","signif_###(round)","N",""
"sdg_externalLabData","precisionCO2","Precision (CV%) - CO2ppm","real","percent","basic","signif_###(round)","N",""
"sdg_externalLabData","concentrationN2O","Concentration of N2O in sample","real","partsPerMillionVolumetric","basic","signif_###########(round)","N",""
"sdg_externalLabData","runDetectionLimitN2O","Run detection limit - N2Oppm","real","partsPerMillionVolumetric","basic","signif_###(round)","N",""
"sdg_externalLabData","precisionN2O","Precision (CV%) - N2Oppm","real","percent","basic","signif_###(round)","N",""
"sdg_externalLabData","sampleCondition","Condition of a sample","string",NA,"basic","LOV","N","sdg.sampleCondition"
"sdg_externalLabData","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"sdg_externalLabData","analyzedBy","Name of lab personnel analyzing sample","string",NA,"basic","obfuscate","N",""
"sdg_externalLabData","externalRemarks","External lab notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"sdg_externalLabData","volumeGasAnalyzed","Amount of gas sample analyzed","real","milliliter","expanded","*.##(round)","N",""
"sdg_externalLabData","gasStandardAccuracy","Accuracy of standards used for gas calibration","real",NA,"basic","signif_###(round)","N",""
"sdg_externalLabData","gasCheckStandardPercentDev","Calculated percent deviation of the run for the gas check standards","real","percent","expanded","*.##(round)","N",""
"sdg_externalLabData","gasCheckStandardQF","Quality flag indicating when the gas check standard percent deviation is above 2 %; 0 indicates percent deviation less than 2 %; 1 indicates percent deviation 2 % or above; and -1 indicates that the test could not be performed","signed integer",NA,"basic","integer","N",""
"sdg_externalLabData","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,NA,NA
"sdg_externalLabSummaryData","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"sdg_externalLabSummaryData","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
